Año,Mes,Cuántas personas viven en la vivienda?,Es vivienda o punto fijo?,Provincia,Municipio,Urbano o Rural?,Sector /Vereda,Perros totales,Machos (dogs),Hembras (dogs),Esterilizados (dogs),Sin esterilizar (dogs),Vacunados (dogs),Sin vacunar (dogs),Gatos totales,Machos (cats),Hembras (cats),Esterilizados (cats),Sin esterilizar (cats),Vacunados (cats)
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,0,1,1
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,2,1,1,1,1,2
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,2,2,0,0,2,2
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,marzo,2,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,0,1,1
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,1,1,0,0,1,1
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,3,3,0,3,0,3
2024,abril,2,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,1,0,1,1,0,1
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,2,0,2,2,0,2,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,2,1,1,0,2,2,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,5,Vivienda,sabana_centro,Chia,Rural,Otro,12,9,3,6,6,12,0,10,3,7,10,0,10
2024,abril,2,Vivienda,sabana_centro,Chia,Urbano,Centro,4,3,1,2,2,4,0,2,1,1,2,0,2
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Otro,4,2,2,2,2,4,0,5,3,2,5,0,5
2024,abril,4,Vivienda,sabana_centro,Chia,Rural,Fonqueta,10,4,6,6,4,10,0,1,0,1,1,0,1
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Cerca de pedra,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,2,0,2,2,0,2
2024,abril,5,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Vivienda,sabana_centro,Chia,Urbano,Centro,1,1,0,0,1,1,0,0,0,0,0,0,0
2024,abril,2,Vivienda,sabana_centro,Chia,Rural,Otro,8,5,3,5,3,8,0,3,1,2,3,0,3
2024,abril,3,Vivienda,sabana_centro,Chia,Rural,fagua,27,11,16,25,2,27,0,7,4,3,7,0,7
2024,abril,4,Vivienda,sabana_centro,Chia,Rural,fagua,7,1,6,6,1,7,0,3,1,2,2,1,3
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,0,1,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,1,0,1,0,1
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,2,0,2,2,0,2
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,0,0,0,0,0,0,0,1,0,1,1,0,1
2024,abril,1,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,1,1,0,1,0,1,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,1,0,1,1,0,1,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,14,7,7,12,2,14,0,1,1,0,1,0,1
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,8,5,3,6,2,8,0,7,2,5,3,4,7
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,12,5,7,9,3,12,0,3,1,2,2,1,3
2024,abril,1,Punto,sabana_centro,Chia,Urbano,Centro,2,2,0,2,0,2,0,0,0,0,0,0,0
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,9,3,6,6,3,9,0,6,3,3,5,1,6
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,8,5,3,5,3,8,0,5,1,4,5,0,5
2024,abril,4,Vivienda,sabana_centro,Chia,Urbano,Centro,2,1,1,1,1,2,0,0,0,0,0,0,0
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,7,2,5,2,5,7,0,3,2,1,3,0,3
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,6,3,3,5,1,6,0,5,2,3,5,0,5
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,8,2,6,5,3,8,0,3,3,0,1,2,3
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,7,5,2,4,3,7,0,3,1,2,1,2,3
2024,abril,1,Punto,sabana_centro,Chia,Urbano,Centro,6,2,4,4,2,6,0,4,3,1,2,2,4
2024,abril,2,Punto,sabana_centro,Chia,Urbano,Centro,2,1,1,1,1,2,0,8,8,0,8,0,8
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,6,2,4,4,2,6,0,4,4,0,4,0,4
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,7,4,3,5,2,7,0,3,1,2,2,1,3
2024,abril,3,Punto,sabana_centro,Chia,Urbano,Centro,15,4,11,14,1,15,0,5,2,3,3,2,5
2024,abril,1,Punto,sabana_centro,Chia,Urbano,Centro,14,7,7,9,5,14,0,3,1,2,2,1,3
